url,title,price,status,country,proxy,retries,scraped_at
https://www.amazon.fr/Unilux-Dimmable-Luminosit%C3%A9-Flexible-Aluminium/dp/B09X73Q4V1/ref=sr_1_1?dib=eyJ2IjoiMSJ9.U0FkU-nxhkq8hMyHfGQtSQ.KseAakkqKVUY06cN4d5QSrIUH4hq6OO4UIh2CcJuRWo&dib_tag=se&keywords=3595560031665&qid=1746706688&sr=8-1&smid=A1X6FK5RDHNB96&th=1,"Unilux Lampe de Bureau LED Poppy, Dimmable 3 Niveaux de Luminosité, avec Port de Charge USB, Flexible Contrôle Tactile, Pliable Socle en Noir, Bras et Tête en Aluminium, Design Mordern","61,",success,France,45.39.157.235,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0829F4419/?th=1,collier feutre - diamètre 125 mm - atlantic 543544,"8,",success,France,64.52.31.54,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0G1TN4YX6/?th=1,"Chicco Pocket Snack Rehausseur Chaise Bébé pour Enfants de 6 mois à 3 ans (15 kg), Chaise Haute Portable, Réglable, avec Fermeture Compacte et Plateau Amovible - Dark Grey","49,",success,France,104.252.62.190,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B08TX5KTX1/?th=1,PLATOIR CRANTÉ 280 MM - 10 x 10 mm - 45°,"8,",success,France,138.226.89.3,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0G1TN4YX6/?th=1,"Chicco Pocket Snack Rehausseur Chaise Bébé pour Enfants de 6 mois à 3 ans (15 kg), Chaise Haute Portable, Réglable, avec Fermeture Compacte et Plateau Amovible - Dark Grey","49,",success,France,82.26.234.34,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0829F4419/?th=1,collier feutre - diamètre 125 mm - atlantic 543544,"9,",success,France,166.0.41.158,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B08RRSGXYY/?th=1,Biocanina Triodental Chiens Moyens 15 Lamelles Végétales,"22,",success,France,82.26.107.234,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0028YMHP2/?th=1,INV 12A 24V COND ELEC BC AR ANTIP,"350,",success,France,192.46.187.234,0,2026-05-25 09:08:19
https://www.amazon.fr/Nobo-Impression-1901916-Whiteboard-Adjustable/dp/B000KT8WQK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.NF3tottH1O6bT1RUEjT-6w.1XhgIdmzjrFAlugiDKvBDhETGWKwNvgNO6__C0k3g0o&dib_tag=se&keywords=5028252170871&qid=1773224283&sr=8-1&smid=A1X6FK5RDHNB96&th=1,"Nobo Impression Pro - Tableau Blanc style Chevalet Trépied, Magnétique & Effaçable à Sec, Réglable en Hauteur, Porte-Marqueur & Crochets pour Feuilles Inclus, Blanc, 1901916","163,",success,France,31.98.15.178,0,2026-05-25 09:08:19
https://www.amazon.fr/AEG-torche-lumens-chargeur-BTL18C2-0/dp/B0BPJKR75J/ref=sr_1_1?keywords=4058546403393&smid=A1X6FK5RDHNB96&th=1,"AEG - Lampe Torche 18V, 3000 lumens (sans Batt. ni Chargeur) - BTL18C2-0, Orange","143,",success,France,9.142.209.111,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00ANU87S4/?th=1,"Westmark, Coupe Ananas/Trancheur en acier inoxydable, ø 8,5 cm, Acier Inoxydable/Plastique, Argent/Noir, 51692260","24,",success,France,82.21.51.125,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0CHSJB79D/?th=1,"Maxi-Cosi Swift 3 en 1 Lit Parapluie Bebe, 0-3 Ans et Demi, jusqu'à 15 kg, Lit de Voyage Léger, Matelas 2-en-1, Ultra-léger, Pliage en 1 Seconde, Sac de Voyage, Eco Care, Beyond Graphite","162,",success,France,130.180.234.209,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00GSPI91I/?th=1,CONT 9A 1NA/1NC 415V 50/60HZ,"52,",success,France,96.62.192.181,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00F0WW7FE/?th=1,Suki 3093245 Tige filetée 1 mètre Acier Inox A2 M 10,"19,",success,France,31.98.9.51,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0C7LVV8HR/?th=1,"CYBEX Siège Gold pour poussette GAZELLE S et e-GAZELLE S, de la naissance à environ 4 ans, Noir Lune","288,",success,France,147.79.22.181,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0C7LVV8HR/?th=1,"CYBEX Siège Gold pour poussette GAZELLE S et e-GAZELLE S, de la naissance à environ 4 ans, Noir Lune","288,",success,France,82.21.32.232,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00ANU87S4/?th=1,"Westmark, Coupe Ananas/Trancheur en acier inoxydable, ø 8,5 cm, Acier Inoxydable/Plastique, Argent/Noir, 51692260","24,",success,France,147.79.22.128,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0FPLRJ2C1/?th=1,NUK Perfect Match Air Sucettes pour bébé | 0-6 mois | Sucettes orthodontiques favorisant l’aération et prévenant l’irritation | 95% d’acceptation par les bébés** | Disney Mickey Mouse | 2 unités,"11,",success,France,82.21.55.28,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0CHSJB79D/?th=1,"Maxi-Cosi Swift 3 en 1 Lit Parapluie Bebe, 0-3 Ans et Demi, jusqu'à 15 kg, Lit de Voyage Léger, Matelas 2-en-1, Ultra-léger, Pliage en 1 Seconde, Sac de Voyage, Eco Care, Beyond Graphite","162,",success,France,82.23.88.35,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0CHSJB79D/?th=1,"Maxi-Cosi Swift 3 en 1 Lit Parapluie Bebe, 0-3 Ans et Demi, jusqu'à 15 kg, Lit de Voyage Léger, Matelas 2-en-1, Ultra-léger, Pliage en 1 Seconde, Sac de Voyage, Eco Care, Beyond Graphite","162,",success,France,82.21.15.169,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00B117SPW/?th=1,Bonde laiton à grille ø 63 - Valentin,"6,",success,France,82.23.102.173,0,2026-05-25 09:08:19
